date,order_id,sku,units,revenue,refunds,cogs,amazon_fees,ad_spend,shipping
2026-06-01,O1001,HS-100,1,49.99,0,18.00,7.50,8.00,4.20
2026-06-01,O1002,HS-100,1,49.99,0,18.00,7.50,8.00,4.20
2026-06-01,O1003,ST-200,1,35.00,0,10.00,5.25,4.00,3.80
2026-06-02,O1004,HS-100,1,49.99,0,18.00,7.50,15.00,4.20
2026-06-02,O1005,HS-100,1,49.99,49.99,18.00,7.50,15.00,4.20
2026-06-02,O1006,HS-100,1,49.99,0,18.00,7.50,15.00,4.20
2026-06-02,O1007,ST-200,1,35.00,0,10.00,5.25,4.00,3.80
2026-06-03,O1008,HS-100,1,49.99,0,18.00,7.50,12.00,4.20
2026-06-03,O1009,ST-200,1,35.00,0,10.00,5.25,4.00,3.80
2026-06-03,O1010,ST-200,1,35.00,35.00,10.00,5.25,4.00,3.80

